dim,value,buckets,turnover_forecast,egm_opt,egm_hkjc_theta,egm_actual_odds,realized_gm,realized_turnover,margin_opt,margin_hkjc_theta,margin_actual_odds,margin_realized,lift_vs_actual,lift_vs_actual_pct,lift_from_theta,lift_from_pricer,buckets_better,buckets_worse
phase,in-play,36,1668555.7800000003,208661.30019162124,125803.91531861456,127436.4260444419,40065.44999999998,1907160.03,0.12505503423542796,0.07539688922992706,0.07637528668321887,0.021007911957970294,81224.87414717933,0.048679747552209086,82857.38487300668,-1632.5107258273492,36,0
phase,prematch,36,637535.17,77793.92411938072,48390.74626297408,48250.9000764043,48376.49999999999,691950.46,0.1220229530543087,0.07590286550461847,0.07568351103893499,0.06991324205492977,29543.024042976424,0.04633944201537371,29403.177856406648,139.84618656977545,35,1
clock_bin,live 0-15m,18,606620.4199999999,74503.08403823068,45719.4353602743,46273.13447413869,25226.919999999976,844375.8600000001,0.1228166437889293,0.07536745195665241,0.07628021238411113,0.029876410725432123,28229.949564091985,0.04653643140481817,28783.64867795638,-553.6991138643934,18,0
clock_bin,live 45-60m,18,1061935.36,134158.21615339056,80084.47995834025,81163.29157030323,14838.530000000002,1062784.17,0.12633369337413394,0.07541370499080118,0.07642959696746818,0.013961941115475971,52994.924583087326,0.04990409640666577,54073.73619505031,-1078.811611962985,18,0
clock_bin,pre 2-1h,18,254704.02999999997,31432.73724001181,19313.4643788353,19197.83096632916,27614.84,312881.51,0.12340887280037074,0.07582708596654439,0.07537309467121177,0.08825973768791898,12234.906273682653,0.04803577812915898,12119.272861176512,115.6334125061403,18,0
clock_bin,pre 60-15m,18,382831.14,46361.18687936892,29077.28188413877,29053.06911007514,20761.66,379068.94999999995,0.12110087721539298,0.07595328291251012,0.07589003629661667,0.054770141421501294,17308.11776929378,0.04521084091877631,17283.90499523015,24.212774063631514,17,1
tg_bin,high,20,654751.5299999999,62870.965049771665,49318.858623663866,49276.838909402795,63060.42999999999,731624.0,0.09602263174516243,0.07532454124034482,0.07526036465986234,0.08619240210818671,13594.12614036887,0.020762267085300084,13552.106426107799,42.019714261070476,19,1
tg_bin,low,4,125355.90000000002,22513.936038682266,9596.954611345958,9723.113478325604,58058.92,145490.45,0.17960013081699594,0.07655766191576109,0.07756406741386407,0.39905657037970527,12790.822560356663,0.10203606340313189,12916.981427336308,-126.15886697964561,4,0
tg_bin,mid,48,1525983.52,201070.32322254806,115278.8483465788,116687.3737331178,-32677.400000000023,1721996.04,0.13176441330280425,0.07554396678319227,0.0764669946980278,-0.018976466403488376,84382.94948943026,0.05529741860477645,85791.47487596926,-1408.5253865389968,48,0
strength,even,60,1930030.4700000004,247719.861734016,145539.0411355286,146901.56210188533,113729.69000000002,2163393.19,0.12835023362818512,0.07540763910091458,0.07611359736817279,0.052570050846836594,100818.29963213069,0.05223663626001234,102180.82059848742,-1362.5209663567366,59,1
strength,mismatch,12,376060.48,38735.362576985965,28655.620446060086,28785.764018960857,-25287.740000000005,435717.3,0.1030030131775239,0.0761994997348833,0.07654557059268993,-0.058037034563465824,9949.598558025107,0.02645744258483398,10079.742130925879,-130.1435729007717,12,0
market,corner totals,288,631145.19,68515.06173495876,57447.20102679345,57789.164956562876,,,0.10855673594685679,0.09102057963365523,0.09156239463151558,,10725.89677839588,0.016994341315341215,11067.860708165303,-341.963929769423,146,142
market,goal handicap,286,641086.34,103966.39688452671,44661.14189896113,45036.68954882791,,,0.16217222298719813,0.069664784776043,0.07025058364030641,,58929.7073356988,0.09192163934689171,59305.25498556558,-375.5476498667849,143,143
market,goal totals,432,1033859.4199999999,113973.76569151656,72086.31865583407,72861.47161545543,,,0.11024106709935144,0.06972545518406562,0.07047522149138559,,41112.29407606112,0.03976584560796585,41887.44703568249,-775.1529596213659,218,214
