subset_model,n,mae,rmse,wape,bias,bias_pct,sum_actual,sum_forecast
all|persist,14355,747.2491069313828,1182.1838148190513,0.372278260420771,-7.67353465691397,-0.0038229421846826582,28813825.759999998,28703672.169999998
all|ma3,14355,694.5288424474631,1094.6311995165001,0.34601311246817695,-57.35364449088587,-0.0285734901544939,28813825.759999998,27990514.193333335
all|ema,14355,681.1034257053291,1074.3105048140917,0.3393245922092367,-41.88641853012887,-0.020867743943767173,28813825.759999998,28212546.221999995
all|zero,14355,2007.2327244862415,2721.8465728258816,1.0,-2007.2327244862415,-1.0,28813825.759999998,0.0
active|persist,11335,946.3397379797088,1330.380422635726,0.372278260420771,-9.718005293339223,-0.0038229421846826582,28813825.759999998,28703672.169999998
active|ma3,11335,879.5731392442287,1231.8523562817638,0.34601311246817695,-72.63445669754448,-0.028573490154494032,28813825.759999998,27990514.19333333
active|ema,11335,862.5707698279664,1208.9842928997768,0.3393245922092367,-53.04627595941773,-0.020867743943766913,28813825.759999998,28212546.222000003
active|zero,11335,2542.022563740626,3063.052757544269,1.0,-2542.022563740626,-1.0,28813825.759999998,0.0
money|persist,11258,937.2842565286908,1319.455241663322,0.3662112156813431,-25.312520874045127,-0.00988998692411054,28813825.759999998,28528857.4
money|ma3,11258,865.5318298099129,1209.1972999883744,0.33817645116488,-93.18846686800498,-0.03641015145779093,28813825.759999998,27764710.0
money|ema,11258,849.784,1189.5868282503827,0.3320235345242124,-72.09548250133237,-0.028168801628791214,28813825.759999998,28002174.818000004
money|zero,11258,2559.408932314798,3073.5099057138527,1.0,-2559.408932314798,-1.0,28813825.759999998,0.0
